뉴스 식별자,news_id,news_date,news_date,news_name,news_reporter,news_title,news_content,news_url
7100501.202,7100501,2023.8.14,20230814,전자신문,김신영,"로지텍, 패션 브랜드 '빅웨이브 컬렉티브'와 브랜드 콜라보 진행","로지텍 X 빅웨이브 컬렉티브 한정 패키지
로지텍은 패션 브랜드 '빅웨이브 컬렉티브'와 SSF샵에서 브랜드 콜라보를 진행한다고 14일 밝혔다.

이번 브랜드 콜라보는 여름철 워케이션을 컨셉으로 삼았다. 여행지에서 업무를 진행하고, 여유롭게 휴식도 취하고 싶은 이들을 위해 마련됐다.

콜라보의 일환으로 이달 27일까지 SSF샵 온라인 홈페이지에서 '시그니처 K855' 사무용 무선 기계식 키보드와 '빅웨이브 콜라보 키캡'으로 구성된 ''를 판매한다. 이번 브랜드 콜라보 패키지는 제주도에 위치한 워케이션 공간인 오피스제주 사계점에서 직접 만나볼 수 있다.

조정훈 로지텍 코리아 지사장은 “트렌드를 선도하고 있는 빅웨이브 컬렉티브와 함께 콜라보를 진행하게 되어 매우 기쁘다”고 말했다.


김신영 기자 spicyzero@etnews.com",http://www.etnews.com/20230814000159
7101201.202,7101201,2023.10.18,20231018,디지털타임스,연소연,"컴퓨존, 네오위즈와 `P의 거짓 콜라보 PC` 출시","PC 마켓플레이스 '컴퓨존'과 네오위즈의 최신작 'P의 거짓' 콜라보 상품 AMD, '컬러풀', '잘만테크' 등 다수 브랜드와 협업하여 안정성 확보 PC판 디럭스 업그레이드, 게임 패드, 한정판 굿즈 등 다양한 사은품 증정
디지털 라이프스타일 쇼핑 플랫폼을 지향하는 컴퓨터, 전자제품 전문 쇼핑 플랫폼 컴퓨존(대표이사 노인호)이 게임 개발사 네오위즈(공동 대표 김승철, 배태근)의 최신작 'P의 거짓'과 콜라보한 조립 PC인 'P의 거짓 콜라보 PC'를 50대 한정 수량 판매한다고 18일 밝혔다.



'P의 거짓'은 지난 9월 글로벌 출시 후 한달 만에 누적 판매량 100만장을 돌파할 정도로 높은 인기를 누리고 있는 PC, 콘솔 기반 신작 게임으로, 조립 PC와 'P의 거짓' IP간 콜라보 사례는 이번이 처음이다.



'P의 거짓 콜라보 PC'는 컴퓨존과 네오위즈 양사간 마케팅 협업을 바탕으로 제작된 조립 PC 상품으로, 'P의 거짓' 로고와 캐릭터 이미지 등이 부착된 한정판 케이스를 활용하여 팬심을 자극하는 유니크한 외형을 갖추고 있다.



또한 'P의 거짓'은 AMD 라이젠 프로세서 및 라데온 그래픽카드에 최적화되어 한층 더 우수한 게이밍 퍼포먼스를 발휘하고 있기 때문에, AMD의 '라이젠7 7800X3D' 프로세서와 파워컬러의 'Radeon RX7800XT 레드데빌' 그래픽카드 등 검증된 부품들을 채택하여 고객들이 최상의 게이밍 환경을 경험할 수 있도록 구성됐다.



'P의 거짓 콜라보 PC' 출시에 맞추어 구매자들을 위한 다양한 이벤트도 진행된다. 콜라보 PC 상품을 구매하는 고객들에게는 'P의 거짓 PC판 디럭스 업그레이드'와 XBOX 게임패드가 사은품으로 지급되며, PC를 구매하는 고객들 중 추첨을 통해 21명에게 한정판 굿즈와 티셔츠가 지급될 예정이다.



컴퓨존 관계자는 네오위즈와 함께 구성, 판매하는 콜라보 조립 PC와 관련해 ""'P의 거짓'과 같이 유명한 IP와 제휴 상품을 구성할 수 있게 되어 영광""이라며 ""컴퓨존은 앞으로도 다양한 브랜드와의 제휴를 통해 신선한 구성의 조립 PC를 지속적으로 구성할 것""이라고 밝혔다.



연소연기자 dtyso@dt.co.kr",http://www.dt.co.kr/contents.html?article_no=2023101702109923056004&ref=jeadan
1500501.202,1500501,2023.9.26,20230926,대구일보,윤정혜,"DGB금융, 캐릭터 단똑우와 인스타툰 작가 콜라보","DGB금융그룹은 그룹 대표 캐릭터인 단똑우(단디·똑디·우디)와 인스타툰 작가의 콜라보 콘텐츠를 제작했다.



이번 콜라보 콘텐츠는 인스타툰 캐릭터와 단똑우의 일상생활 속 에피소드를 다루는 스토리로 3회에 나눠 업로드된다. 작가 인스타그램 계정과 DGB금융그룹 공식 계정 ‘선넘는 단똑우’에 업로드된다.

앞서 공개한 1회차 콘텐츠는 강아지·고양이 캐릭터인 ‘몽냥툰’ 작가와 협업했고, 2회차는 27일부터 쿼카·병아리 캐릭터인 ‘개니와 마찌’ 작가와 콜라보 콘텐츠를 선보인다. 3회 차는 10월13일부터 뱁새 캐릭터인 ‘김뱁새’ 작가와 협업한다.

DGB금융그룹은 인스타툰 콘텐츠 제작을 기념해 이벤트도 진행한다. ‘선넘는 단똑우’ 계정을 팔로우하고 게시글에 있는 웹툰 콘텐츠를 감상 후 ‘참여완료’ 댓글을 남기면 추첨을 통해 경품을 증정한다.







윤정혜 기자 yun@idaegu.com",http://www.idaegu.com/newsView/idg202309260071
1100701.202,1100701,2023.8.28,20230828,세계일보,김정환,"쿼시, 카멜커피와 콜라보 진행 한정 패키지 출시","쿼시(Quash)는 ‘한국에서 가장 핫한 카페 브랜드’로 이름을 높이고 있는 “카멜커피” 와 콜라보를 진행한다고 밝혔다.

쿼시와 카멜커피는 전개하고 있는 각각의 청소&위생과 F&B라는 카테고리를 넘어 다양한 프로젝트를 선보여 고객들에게 즐거움을 주는 브랜드라는 공통점을 발견해 이번 콜라보를 진행하게 됐다고 한다.

콜라보 제품은 쿼시 세정 롤티슈로 카멜커피 특유의 클래식하면서 빈티지한 감성을 더해 특별해진 패키지 디자인을 선보인다.

쿼시X카멜커피 콜라보 제품은 각기 다른 디자인 2종으로 한정 판매로 진행된다.

두 브랜드의 콜라보 제품은 8월 29일(화) 쿼시 공식 홈페이지에서만 구매가 가능하며, 카멜커피 매장에도 비치하여 직접 확인할 수 있다고 전했다.

또한 쿼시 공식 인스타그램에도 다양한 콜라보 콘텐츠를 확인할 수 있다


김정환 기자 hwani89@segye.com",http://www.segye.com/content/html/2023/08/28/20230828508491.html
1100201.202,1100201,2023.9.12,20230912,국민일보,박재구,모리셔스브라운-지노베타케어 이색 콜라보 진행 중,"21일 모리셔스브라운 석촌호수점서 콜라보 기념 네이버 라이브 방송
모리셔스브라운-한국먼디파마 ‘지노베타케어’ 콜라보 이벤트. 모리셔스브라운 제공
프리미엄 밀크티 브랜드 모리셔스브라운은 한국먼디파마의 여성청결제 ‘지노베타케어’와 함께 건강을 주제로 한 이너뷰티, 헬시플레저 해시태그 콜라보 이벤트를 진행하고 있다고 12일 밝혔다.

이달 24일까지 진행되는 이번 콜라보는 이벤트 기간동안 모리셔스브라운 밀크티를 구매하고 인스타그램 포스팅에 이너뷰티, 헬시플레저, 모시셔스브라운, 지노베타케어 필수 해시태그 4개를 포함한 음료 사진을 업로드하면 한국먼디파마에서 출시한 여성청결제 ‘지노베타케어’ 1종을 매장에서 바로 받을 수 있다.

앞서 지난달 23일에는 지노베타케어 ‘모이스처라이저’ 카렌듈라 신제품 런칭을 기념한 네이버 라이브 방송을 모리셔스브라운 인천 청라점 현장에서 콜라보 방송으로 진행해 시청자들의 큰 관심을 끌었다.

특히 이달 21일 오전 11시에도 콜라보를 기념해 모리셔스브라운 석촌호수점에서 지노베타케어 고객 감사 네이버 라이브 방송을 진행할 예정이다.

박종원 모리셔스브라운 대표이사는 “모리셔스브라운과 지노베타케어가 함께 하는 이벤트에 많은 분들이 참여해 주셔서 진심으로 감사드린다”면서 “콜라보 이벤트 기간동안 진행되는 다양한 이벤트를 통해 많은 분들에게 건강과 즐거움이라는 경험을 제공해 드리고 싶다”고 말했다.

한편, 모리셔스브라운은 칼슘과 마그네슘 등의 영양성분이 남아 있는 비정제원당과 신선한 우유를 사용해 소비자에게 건강한 밀크티를 제공하고 있다.

한국먼디파마는 1998년에 대한민국에 진출한 다국적 제약회사로 메디폼, 베타딘 브랜드를 비롯해 여성 건강과 관련해 일반의약품인 질염치료제 ‘지노베타딘’, 화장품 카테고리의 여성청결제 ‘지노베타케어’ 라인업을 보유하고 있다.

박재구 기자 park9@kmib.co.kr",https://news.kmib.co.kr/article/view.asp?arcid=0018661097&code=61122011&cp=kd
7100501.202,7100501,2023.9.18,20230918,전자신문,박효주,"반올림피자, 모바일 게임 '고양이와 스프'와 콜라보 프로모션 진행","반올림피자는 힐링 모바일 게임 '고양이와 스프'와 협업 프로모션을 진행한다고 18일 밝혔다.

'고양이와 스프'는 네오위즈가 서비스하는 힐링 방치형 게임으로 고양이들이 스프나 주스, 볶음 등 여러 음식을 만들거나 휴식을 취하는 것을 구경할 수 있다. 고양이의 일러스트와 움직임이 귀여워 큰 인기를 얻으며 누적 다운로드 4800만 을 기록했다.

반올림피자는 이번 '고양이와 스프'와의 콜라보를 기념해 스페셜 메뉴를 선보인다. '고양이와 스프 스페셜 피자'는 반올림고구마피자와 콤비네이션피자, 그리고 치즈링으로 구성된 '고양이 반반피자'와 스페셜 쿠폰 1종이 제공된다. '고양이와 스프 스페셜 세트'는 반올림고구마피자와 콤비네이션 피자, 치즈링으로 구성된 '고양이 반반피자'와 치즈오븐스파게티, 음료 그리고 스페셜 쿠폰 1종으로 구성된다.

스페셜 쿠폰은 이번 콜라보 메뉴를 주문하면 받을 수 있으며 고양이와 스프 게임 속 아이템인 반올림피자 코스튬, 보석 1000개를 받을 수 있다. 또한 전 메뉴를 주문하면 둥둥풍선과 보석 500개를 받을 수 있는 일반 쿠폰을 제공한다. 이어 반올림피자 자사 앱을 통해 콜라보 메뉴를 구매하면 별마카롱 3개, 보석 3000개를 받을 수 있는 앱스페셜 쿠폰을 받을 수 있다. 특히 오늘부터 반올림피자를 주문하면 '고양이와 스프 콜라보 패키지'에 담긴 반올림피자를 만날 수 있다. 이번 콜라보 프로모션은 다음 달 17일까지 진행한다.

이와 함께 반올림피자는 이번 콜라보를 기념해 배달의 민족에서 반올림피자를 주문하면 이날부터 일주일간 최대 5000원을 할인한다.

반올림피자 관계자는 “이번 '고양이와 스프' 콜라보는 요리와 힐링이라는 키워드가 반올림피자가 지향하는 가치와 맞닿아 있어 기획하게 됐다”며 “이번 콜라보 프로모션을 통해 반올림피자와 함께 힐링하는 시간을 갖길 기대한다”고 말했다.

박효주 기자 phj20@etnews.com",http://www.etnews.com/20230918000036
1500601.202,1500601,2023.11.1,20231101,매일신문,김우정,"이디야커피 산리오캐릭터들과 두번째 만남, 시즌2 신제품 출시 및 프로모션 진행"," 2일 ‘산리오캐릭터즈’와 협업한 음료 2종, 스낵 1종, 굿즈 3종, 기프트카드 2종 출시
이디야커피가 2일 글로벌 캐릭터 기업 산리오코리아의 '산리오캐릭터즈'와 협업한 다양한 신제품을 출시한다. 이디야커피 제공
이디야커피가 2일 글로벌 캐릭터 기업 산리오코리아의 '산리오캐릭터즈'와 협업한 다양한 신제품을 출시한다.

이번 콜라보는 지난 6월 뜨거운 호응을 얻었던 이디야커피X산리오캐릭터즈 시즌 1에 이은 두 번째 협업이다. 산리오캐릭터즈를 활용한 음료와 스낵, MD, 기프트카드 등 다양한 콜라보 상품을 선보인다.

이번 콜라보를 통해 새롭게 선보이는 음료는 '쿠로미 데블 초콜릿', '폼폼푸린 골든 슈크림 라떼' 2종으로 산리오캐릭터즈의 컬러감을 담아낸 것이 특징이다. 쿠로미 데블 초콜릿은 묵직한 다크초콜릿에 산뜻한 베리 향을 더하고 휘핑크림 위에 퍼플 초코 소스와 스프링클을 가득 올려 진한 달콤함과 풍성함을 느낄 수 있다.

폼폼푸린 골든 슈크림 라떼는 커스터드와 카라멜향이 조화롭게 어우러진 라떼에 크림과 코코아파우더를 더해 부드럽고 은은한 달콤함을 강조했으며, 에스프레소 샷을 추가하면 원두의 깊은 맛도 함께 즐길 수 있다.

콜라보 음료와 함께 즐기기 좋은 '헬로키티 아이스콘 초코'는 튀기지 않고 오븐에 직접 구운 바삭한 콘에 달콤한 초콜릿을 가득 채운 스낵으로 콜라보 기간 동안 헬로키티 디자인 패키지로 만나볼 수 있다.

계절감을 담은 굿즈 3종도 함께 선보인다. '패브릭 달력'은 포근함을 느낄 수 있는 따뜻한 재질의 달력으로 벽에 부착해서 인테리어 소품으로 활용할 수 있도록 제작했다. '시나모롤 머그'는 고급스러운 질감의 도자기 소재로 만들어졌으며 제품 전면에 시나모롤 캐릭터를 담아냈다. '윈터 블랭킷'은 보드라운 촉감의 담요로 스냅 단추가 달려있어 실용적으로 활용이 가능하다.

산리오캐릭터즈로 아기자기하게 디자인한 기프트카드도 2종으로 선보인다. 충전형 기프트카드로 전국 이디야커피 매장 또는 이디야멤버스를 통해 지속해서 사용 가능하다.

이디야커피는 이번 콜라보를 기념해 산리오캐릭터즈를 활용한 굿즈와 메뉴 교환권 등을 증정하는 다양한 온∙오프라인 프로모션을 진행한다. 2일부터 전국 이디야커피 매장에서 콜라보 음료 구매 시 음료 1잔 당 캐릭터 부적 1장을 제공하고, 산리오캐릭터즈 기프트카드 구매 고객에게는 랜덤 핀버튼을 증정한다.

이디야멤버스 앱에서는 2일부터 8일까지 일주일간 매일 참여 가능한 룰렛 이벤트를 통해 패브릭 달력, 시나모롤 머그, 윈터 블랭킷 등 굿즈와 콜라보 음료 할인쿠폰을 랜덤으로 증정한다. 오는 15일부터 3주간 콜라보 음료를 마시고 경품에 응모한 고객에게는 산리오캐릭터즈 굿즈 당첨의 기회를 제공한다.

이디야커피 공식 홈페이지에서는 2일부터 22일까지 콜라보 음료 2종을 모두 구매하고 적립한 고객 중 100명을 추첨해 굿즈 세트를 증정한다. 2일부터 12일까지 전국 이디야커피 매장에 비치된 산리오캐릭터즈 포토프레임에서 인증샷을 찍어 올린 고객 중 추첨을 통해 다양한 굿즈를 제공한다. 이외에도 요즘 디지털 세대 특성에 맞는 온라인굿즈도 만나볼 수 있다. 이디야커피 홈페이지에서 이디야 전용 드로잉의 산리오캐릭터즈 휴대폰, 워치, 태블릿 배경화면을 무료로 다운받을 수 있다.",https://news.imaeil.com/page/view/2023110114524443728
1500501.202,1500501,2023.8.22,20230822,대구일보,이동현,"대구FC, 스트릿 편집샵 이플릭(EPLC)과 콜라보 ‘대구 티셔츠’ 출시","대구 티셔츠 화보 사진. 대구FC 이용래 선수와 아들 이로한군. 대구FC 제공
프로축구 대구FC가 오는 26일 대구 스트릿 편집샵 이플릭(EPLC)과 콜라보한 ‘대구 티셔츠’를 정식 출시한다.

대구FC와 이플릭의 대구 티셔츠 콜라보는 지난 2019년에 이어 이번이 두 번째다. 최근 팬들의 의견을 반영해 이번 콜라보 제품에는 어린이 팬들을 위한 아동용 티셔츠 사이즈(M, L)가 추가됐다.

이번 대구 티셔츠는 대구FC의 팀 컬러인 하늘색과 창단 연도(2002년) 등을 활용한 심플한 디자인으로 이뤄졌다. 경기장 직관 ‘룩’ 뿐만 아니라 일상에서도 캐주얼하게 소화할 수 있다는 게 특징이다.

대구 티셔츠 출시를 기념해 선보인 화보에서는 가족 모델로 대구FC 이용래 선수와 이용래 선수의 아들 이로한군이 참여했다. 대구 출신 래퍼 조원우와 대학생, 댄서, 프리랜서 모델, 아역 모델 등도 함께 참여하며 의미를 더했다.

대구 티셔츠는 26일 오후 4시부터 대구FC 팀스토어 및 이플릭 온오프라인 스토어(중구 교동)에서 구매 가능하다. 잔여 수량에 한해서는 오는 28일 오후 1시부터 대구FC 온라인스토어에서 판매한다.

한편 대구는 오는 26일 오후 7시 제주를 홈으로 불러들여 K리그1 28라운드 경기를 치른다. 제주전 홈경기는 일반 티켓 예매 오픈 4시간 만인 지난 19일 오후 6시께 원정석을 제외한 홈 응원석 전석이 매진됐다.

대구는 이날 대구 티셔츠 모델로 활약한 이용래 선수를 테마로 한 ‘이용래 데이’, ‘DGB대구은행과 함께하늘 SAVE 데이’ 등 다양한 행사를 진행할 예정이다. 자세한 행사 정보는 대구FC 공식 홈페이지에서 확인 가능하다.







이동현 기자 leedh@idaegu.com",http://www.idaegu.com/newsView/idg202308220061
1100701.202,1100701,2023.11.3,20231103,세계일보,김현주,이디야커피X산리오캐릭터즈 시즌 2 신제품 출시 기념 프로모션,"이디야커피가 오는 2일 글로벌 캐릭터 기업 산리오코리아의 ‘산리오캐릭터즈’와 협업한 다양한 신제품을 출시한다.

이번 콜라보는 지난 6월 뜨거운 호응을 얻었던 이디야커피X산리오캐릭터즈 시즌 1에 이은 두 번째 협업으로 산리오캐릭터즈를 활용한 음료와 스낵, MD, 기프트카드 등 다양한 콜라보 상품을 선보인다.

이번 콜라보를 통해 새롭게 선보이는 음료는 ‘쿠로미 데블 초콜릿’, ‘폼폼푸린 골든 슈크림 라떼’ 2종으로 산리오캐릭터즈의 컬러감을 담아낸 것이 특징이다. 쿠로미 데블 초콜릿은 묵직한 다크초콜릿에 산뜻한 베리 향을 더하고 휘핑크림 위에 퍼플 초코 소스와 스프링클을 가득 올려 진한 달콤함과 풍성함을 느낄 수 있다. 폼폼푸린 골든 슈크림 라떼는 커스터드와 카라멜향이 조화롭게 어우러진 라떼에 크림과 코코아파우더를 더해 부드럽고 은은한 달콤함을 강조했으며, 에스프레소 샷을 추가하면 원두의 깊은 맛도 함께 즐길 수 있다.

콜라보 음료와 함께 즐기기 좋은 ‘헬로키티 아이스콘 초코’는 튀기지 않고 오븐에 직접 구운 바삭한 콘에 달콤한 초콜릿을 가득 채운 스낵으로 콜라보 기간 동안 헬로키티 디자인 패키지로 만나볼 수 있다.

계절감을 담은 굿즈 3종도 함께 선보인다. ‘패브릭 달력’은 포근함을 느낄 수 있는 따뜻한 재질의 달력으로 벽에 부착해서 인테리어 소품으로 활용할 수 있도록 제작했다. ‘시나모롤 머그’는 고급스러운 질감의 도자기 소재로 만들어졌으며 제품 전면에 시나모롤 캐릭터를 담아냈다. ‘윈터 블랭킷’은 보드라운 촉감의 담요로 스냅 단추가 달려있어 실용적으로 활용이 가능하다.

산리오캐릭터즈로 아기자기하게 디자인한 기프트카드도 2종으로 선보인다. 충전형 기프트카드로 전국 이디야커피 매장 또는 이디야멤버스를 통해 지속해서 사용 가능하다.

이디야커피는 이번 콜라보를 기념해 산리오캐릭터즈를 활용한 굿즈와 메뉴 교환권 등을 증정하는 다양한 온?오프라인 프로모션을 진행한다. 2일부터 전국 이디야커피 매장에서 콜라보 음료 구매 시 음료 1잔 당 캐릭터 부적 1장을 제공하고, 산리오캐릭터즈 기프트카드 구매 고객에게는 랜덤 핀버튼을 증정한다.

이디야멤버스 앱에서는 2일부터 8일까지 일주일간 매일 참여 가능한 룰렛 이벤트를 통해 패브릭 달력, 시나모롤 머그, 윈터 블랭킷 등 굿즈와 콜라보 음료 할인쿠폰을 랜덤으로 증정하며, 15일부터 3주간 콜라보 음료를 마시고 경품에 응모한 고객에게는 산리오캐릭터즈 굿즈 당첨의 기회를 제공한다.

이디야커피 공식 홈페이지에서는 2일부터 22일까지 콜라보 음료 2종을 모두 구매하고 적립한 고객 중 100명을 추첨해 굿즈 세트를 증정하며, 2일부터 12일까지 전국 이디야커피 매장에 비치된 산리오캐릭터즈 포토프레임에서 인증샷을 찍어 올린 고객 중 추첨을 통해 다양한 굿즈를 제공한다. 이외에도 요즘 디지털 세대 특성에 맞는 온라인굿즈도 만나볼 수 있다. 이디야커피 홈페이지에서 이디야 전용 드로잉의 산리오캐릭터즈 휴대폰, 워치, 태블릿 배경화면을 무료로 다운받을 수 있다.

이디야커피 관계자는 “지난여름 진행한 콜라보에 보내주신 고객들의 호응에 힘입어 산리오캐릭터즈와 두 번째 협업을 진행하게 됐다”며 “전국 이디야커피 매장에서 콜라보 제품을 즐기시고 다양한 경품 당첨의 행운도 누리시길 바란다”고 말했다.


김현주 기자 hjk@segye.com",http://www.segye.com/content/html/2023/11/03/20231103510080.html
1300201.202,1300201,2023.9.25,20230925,강원일보,김영석기자 kim711125@kwnews.co.kr," [포토뉴스]임계면, ‘2023년 한가위 콜라보 명절음식 지원사업’","임계면 행정복지센터(면장:유병민)가 25일 임계면 복지회관에서 임계면 복지안전망 강화사업 ‘이웃동행’과 정선군종합사회복지관 ‘국한담’ 사업팀과 협력해 2023년 한가위 콜라보 명절음식 지원사업’을 추진해 눈길을 끌었다. 이날 돼지갈비찜, 송편, 모듬전 등으로 구성된 명절 음식은 임계면 내 복지사각지대 25가구에 전달됐다.",https://www.kwnews.co.kr/page/view/2023092510260998575
